ScanColor,ScanType,RadiationType,Energy,Medium,FieldSize
Color [A=255, R=255, G=0, B=255],Inline,Photons,15,Water,20, 10
,Crossline(cm),Inline(cm),Depth(cm),Dose(%),
,2.6,0,5,79.96,
,2.5,0,5,84.36,
,2.4,0,5,87.67,
,2.3,0,5,90.11,
,2.2,0,5,91.93,
,2.1,0,5,93.32,
,2,0,5,94.3,
,1.9,0,5,95.11,
,1.8,0,5,95.83,
,1.7,0,5,96.39,
,1.6,0,5,96.78,
,1.5,0,5,97.04,
,1.4,0,5,97.26,
,1.3,0,5,97.51,
,1.2,0,5,97.72,
,1.1,0,5,97.94,
,1,0,5,98.13,
,0.9,0,5,98.18,
,0.8,0,5,98.14,
,0.7,0,5,98.24,
,0.6,0,5,98.41,
,0.5,0,5,98.57,
,0.4,0,5,98.65,
,0.3,0,5,98.67,
,0.2,0,5,98.86,
,0.1,0,5,98.92,
,0,0,5,98.94,
,-0.1,0,5,98.97,
,-0.2,0,5,99.06,
,-0.3,0,5,99.22,
,-0.4,0,5,99.21,
,-0.5,0,5,99.29,
,-0.6,0,5,99.34,
,-0.7,0,5,99.35,
,-0.8,0,5,99.36,
,-0.9,0,5,99.4,
,-1,0,5,99.71,
,-1.1,0,5,99.75,
,-1.2,0,5,99.77,
,-1.3,0,5,99.79,
,-1.4,0,5,99.8,
,-1.5,0,5,99.81,
,-1.6,0,5,99.78,
,-1.7,0,5,99.93,
,-1.8,0,5,99.98,
,-1.9,0,5,99.98,
,-2,0,5,99.99,
,-2.1,0,5,100.05,
,-2.2,0,5,100,
,-2.3,0,5,100.06,
,-2.4,0,5,100.09,
,-2.5,0,5,100.13,
,-2.6,0,5,100.17,
,-2.7,0,5,100.15,
,-2.8,0,5,100.19,
,-2.9,0,5,100.26,
,-3,0,5,100.3,
,-3.1,0,5,100.36,
,-3.2,0,5,100.48,
,-3.3,0,5,100.65,
,-3.4,0,5,100.68,
,-3.5,0,5,100.71,
,-3.6,0,5,100.78,
,-3.7,0,5,100.87,
,-3.8,0,5,100.92,
,-3.9,0,5,100.75,
,-4,0,5,100.91,
,-4.1,0,5,101.03,
,-4.2,0,5,101.05,
,-4.3,0,5,101.03,
,-4.4,0,5,101.01,
,-4.5,0,5,100.82,
,-4.6,0,5,101.04,
,-4.7,0,5,101.1,
,-4.8,0,5,101.09,
,-4.9,0,5,101,
,-5,0,5,100.87,
,-5.1,0,5,100.93,
,-5.2,0,5,100.98,
,-5.3,0,5,101.11,
,-5.4,0,5,101.19,
,-5.5,0,5,101.17,
,-5.6,0,5,101.08,
,-5.7,0,5,101.01,
,-5.8,0,5,100.88,
,-5.9,0,5,100.8,
,-6,0,5,100.68,
,-6.1,0,5,100.44,
,-6.2,0,5,100.14,
,-6.3,0,5,100.03,
,-6.4,0,5,99.35,
,-6.5,0,5,98.36,
,-6.6,0,5,97.04,
,-6.7,0,5,95.19,
,-6.8,0,5,92.47,
,-6.9,0,5,88.53,
,-7,0,5,82.53,
,-7.1,0,5,75.04,
,-7.2,0,5,66.24,
,-7.3,0,5,56.78,
,-7.4,0,5,47.03,
,-7.5,0,5,37.58,
,-7.6,0,5,29.48,
,-7.7,0,5,23.57,
,-7.8,0,5,19.1,
,-7.9,0,5,15.78,
,-8,0,5,13.33,
,-8.1,0,5,11.54,
,-8.2,0,5,10.25,
,-8.3,0,5,9.14,
,-8.4,0,5,8.22,
,-8.5,0,5,7.45,
,-8.6,0,5,6.82,
,-8.7,0,5,6.3,
,-8.8,0,5,5.85,
,-8.9,0,5,5.46,
,-9,0,5,5.12,
,-9.1,0,5,4.8,
,-9.2,0,5,4.54,
,-9.3,0,5,4.28,
,-9.4,0,5,4.08,
,-9.5,0,5,3.89,
,-9.6,0,5,3.71,
,-9.7,0,5,3.54,
,-9.8,0,5,3.39,
,-9.9,0,5,3.26,
,-10,0,5,3.15,
,-10.1,0,5,3.04,
,-10.2,0,5,2.93,
,-10.3,0,5,2.82,
,-10.4,0,5,2.71,
,-10.5,0,5,2.63,
,-10.6,0,5,2.53,
,-10.7,0,5,2.45,
,-10.8,0,5,2.38,
,-10.9,0,5,2.31,
,-11,0,5,2.23,
,-11.1,0,5,2.19,
,-11.2,0,5,2.12,
,-11.3,0,5,2.05,
,-11.4,0,5,1.98,
,-11.5,0,5,1.92,
,-11.6,0,5,1.87,
,-11.7,0,5,1.83,
,-11.8,0,5,1.78,
,-11.9,0,5,1.73,
,-12,0,5,1.69,
,-12.1,0,5,1.65,
,-12.2,0,5,1.6,
,-12.3,0,5,1.55,
,-12.4,0,5,1.52,
,-12.5,0,5,1.5,
,-12.6,0,5,1.46,
,-12.7,0,5,1.43,
,-12.8,0,5,1.36,
,-12.9,0,5,1.34,
,-13,0,5,1.33,
,-13.1,0,5,1.29,
,-13.2,0,5,1.25,
,-13.3,0,5,1.22,
,-13.4,0,5,1.19,
,-13.5,0,5,1.19,
